event_id,date,home_team_id,away_team_id,home_score,away_score,neutral_site,margin
401817464,2025-11-05,24,2502,89,79,False,10
401817465,2025-11-08,24,149,91,68,False,23
401817466,2025-11-13,24,147,77,68,False,9
401817467,2025-11-19,24,309,93,66,False,27
401817468,2025-11-22,24,2547,69,77,False,-8
401817469,2025-11-28,135,24,68,72,True,-4
401830750,2025-11-29,139,24,77,78,True,-1
401817470,2025-12-02,24,2501,94,72,False,22
401817471,2025-12-07,24,2439,74,75,False,-1
401817472,2025-12-14,23,24,82,86,False,-4
401817473,2025-12-18,24,250,76,60,False,16
401817474,2025-12-21,38,24,68,77,True,-9
401817475,2025-12-28,24,2463,88,80,False,8
401820635,2025-12-31,24,87,40,47,False,-7
401820643,2026-01-03,24,97,80,76,False,4
401820655,2026-01-08,259,24,68,69,False,-1
401820664,2026-01-10,258,24,70,55,False,15
401820672,2026-01-15,24,153,95,90,False,5
401820681,2026-01-17,24,150,50,80,False,-30
401820695,2026-01-25,24,25,66,78,False,-12
401817218,2025-11-04,25,2934,87,60,False,27
401817219,2025-11-07,25,2750,77,67,False,10
401817220,2025-11-11,25,2239,93,65,False,28
401817221,2025-11-14,2306,25,99,96,False,3
401817222,2025-11-19,25,2506,67,57,False,10
401817223,2025-11-22,25,16,91,67,False,24
401813762,2025-11-26,25,26,80,72,True,8
401817224,2025-12-03,25,254,79,72,False,7
401817225,2025-12-06,25,279,67,61,False,6
401820295,2025-12-10,25,2957,93,71,False,22
401817226,2025-12-13,25,2466,79,70,False,9
401813282,2025-12-20,25,2415,97,50,False,47
401817227,2025-12-21,25,171,74,56,False,18
401820634,2025-12-31,25,97,70,90,False,-20
401820642,2026-01-03,25,87,72,71,False,1
401820654,2026-01-08,258,25,84,60,False,24
401820665,2026-01-10,259,25,78,75,False,3
401820666,2026-01-15,25,150,56,71,False,-15
401820675,2026-01-17,25,153,84,78,False,6
401826705,2025-11-05,52,2016,108,76,False,32
401826706,2025-11-08,52,2011,101,64,False,37
401826707,2025-11-12,57,52,78,76,False,2
401826708,2025-11-19,52,2630,87,73,False,14
401826709,2025-11-21,52,290,98,72,False,26
401823735,2025-11-26,52,2934,89,59,False,30
401826710,2025-11-28,52,245,59,95,True,-36
401806369,2025-12-03,52,61,73,107,False,-34
401824813,2025-12-07,248,52,82,67,True,15
401826711,2025-12-13,52,113,95,103,True,-8
401813443,2025-12-17,2168,52,97,69,False,28
401826712,2025-12-20,52,2400,96,49,False,47
401823350,2025-12-23,52,294,87,63,False,24
401820639,2025-12-31,153,52,79,66,False,13
401820644,2026-01-03,52,150,87,91,False,-4
401820658,2026-01-10,52,152,69,113,False,-44
401820673,2026-01-14,183,52,94,86,False,8
401820677,2026-01-17,52,154,68,69,False,-1
401820686,2026-01-21,2390,52,63,65,False,-2
401820694,2026-01-24,2567,52,83,80,False,3
401820296,2025-11-04,59,2379,56,52,False,4
401820614,2025-11-08,59,2803,74,45,False,29
401808950,2025-11-11,59,2545,70,60,False,10
401826713,2025-11-15,61,59,92,87,False,5
401826714,2025-11-19,59,290,68,66,False,2
401825386,2025-11-23,59,2698,82,66,False,16
401825573,2025-11-29,305,59,75,61,True,14
401830884,2025-11-29,2181,59,84,74,True,10
401806377,2025-12-04,59,344,73,85,False,-12
401824865,2025-12-06,59,2405,79,67,False,12
401813326,2025-12-17,59,2368,87,76,False,11
401826755,2025-12-20,59,322,95,81,False,14
401826756,2025-12-28,59,50,89,65,False,24
401820636,2025-12-31,150,59,85,79,False,6
401820645,2026-01-03,59,103,65,53,False,12
401820653,2026-01-07,59,183,72,82,False,-10
401820660,2026-01-10,2390,59,91,81,False,10
401820668,2026-01-15,59,221,66,89,False,-23
401820678,2026-01-17,152,59,74,78,False,-4
401820690,2026-01-24,59,228,63,77,False,-14
401812350,2025-11-04,87,112358,89,67,False,22
401817132,2025-11-08,87,2174,102,70,False,32
401817433,2025-11-12,87,2197,78,58,False,20
401817434,2025-11-16,194,87,64,63,False,1
401817435,2025-11-20,87,91,86,79,False,7
401817436,2025-11-24,2305,87,71,61,True,10
401817437,2025-11-25,87,164,68,63,True,5
401831217,2025-11-26,248,87,66,56,True,10
401806368,2025-12-03,87,142,76,71,False,5
401812254,2025-12-06,2628,87,85,87,False,-2
401817438,2025-12-11,87,70,80,65,False,15
401817439,2025-12-13,87,339,82,58,False,24
401817440,2025-12-21,87,2870,69,72,False,-3
401820662,2026-01-10,87,228,61,76,False,-15
401820670,2026-01-14,87,2390,69,81,False,-12
401820682,2026-01-17,259,87,89,76,False,13
401820687,2026-01-22,153,87,91,69,False,22
401820692,2026-01-24,87,103,68,64,False,4
401817239,2025-11-04,97,2569,104,45,False,59
401817240,2025-11-07,97,2296,106,70,False,36
401817241,2025-11-12,97,96,96,88,False,8
401817242,2025-11-15,97,195,106,81,False,25
401817243,2025-11-21,2132,97,64,74,True,-10
401817244,2025-11-25,97,2199,87,46,False,41
401817245,2025-11-27,97,2885,104,47,False,57
401806374,2025-12-04,8,97,89,80,False,9
401817246,2025-12-06,97,84,87,78,True,9
401817247,2025-12-13,97,235,99,73,False,26
401817248,2025-12-17,2633,97,83,62,False,21
401817249,2025-12-20,97,149,94,54,False,40
401820650,2026-01-07,97,150,73,84,False,-11
401820659,2026-01-10,97,103,75,62,False,13
401820669,2026-01-14,97,258,70,79,False,-9
401820679,2026-01-18,221,97,59,100,False,-41
401820691,2026-01-24,97,259,85,71,False,14
401817211,2025-11-04,2226,103,83,78,False,5
401817212,2025-11-07,103,2643,76,47,False,29
401812644,2025-11-12,103,2115,59,60,False,-1
401817213,2025-11-15,218,103,71,76,False,-5
401817214,2025-11-19,103,2261,63,52,False,11
401809311,2025-11-21,103,2166,49,59,True,-10
401831228,2025-11-23,103,2655,90,93,True,-3
401812606,2025-11-26,103,108,73,60,False,13
401806378,2025-12-04,103,99,69,78,False,-9
401817215,2025-12-06,103,2441,67,63,False,4
401817216,2025-12-11,103,113,74,76,True,-2
