event_id,date,home_team_id,away_team_id,home_score,away_score,neutral_site,spread,margin
401823521,2025-11-04,2000,241,92,55,False,,37
401823522,2025-11-07,2000,2437,73,71,False,-4.5,2
401823523,2025-11-11,2000,2903,104,63,False,,41
401823524,2025-11-15,2617,2000,76,66,False,-6.5,10
401823525,2025-11-19,326,2000,63,49,False,-1.5,14
401830347,2025-11-25,2000,2636,61,50,True,-2.5,11
401827507,2025-11-25,2000,2729,58,92,True,-1.5,-34
401823526,2025-11-28,2000,2299,87,55,False,,32
401823527,2025-12-03,2492,2000,63,71,False,1.5,-8
401823528,2025-12-06,2000,166,77,69,False,1.5,8
401823529,2025-12-17,12,2000,96,62,False,-34.5,34
401819840,2025-12-20,252,2000,85,67,False,-33.5,18
401827009,2025-12-22,2640,2000,68,75,False,4.5,-7
401805157,2026-01-02,2000,3101,64,79,False,-5.5,-15
401805160,2026-01-03,2000,3084,85,68,False,7.5,17
401805163,2026-01-09,2627,2000,80,84,False,-4.5,-4
401805166,2026-01-10,250,2000,82,72,False,-3.5,10
401805169,2026-01-16,2000,2856,58,74,False,-1.5,-16
401805172,2026-01-18,253,2000,74,52,False,3.5,22
401805181,2026-01-30,2000,3101,70,76,False,-3.5,-6
401805184,2026-01-31,2000,253,76,79,False,-6.5,-3
401805187,2026-02-06,3084,2000,68,55,False,-14.5,13
401811965,2025-11-04,2057,2005,79,63,False,-15.5,16
401820550,2025-11-08,2005,2046,54,74,False,1.5,-20
401812353,2025-11-11,2005,112358,72,76,False,5.5,-4
401820551,2025-11-15,2005,193,61,76,False,10.5,-15
401820552,2025-11-19,2005,2011,66,64,False,-2.5,2
401820553,2025-11-21,2005,2565,77,63,False,2.5,14
401820554,2025-11-23,2005,85,98,85,False,-3.5,13
401820555,2025-11-26,2005,2458,53,71,False,4.5,-18
401811108,2025-11-29,233,2005,80,63,True,-3.5,17
401820556,2025-12-04,2005,279,65,80,False,5.5,-15
401820157,2025-12-07,2426,2005,61,56,False,-9.5,5
401820557,2025-12-18,21,2005,81,58,False,-24.5,23
401820558,2025-12-30,2005,2751,56,68,False,14.5,-12
401820559,2026-01-03,2439,2005,67,39,False,-14.5,28
401820560,2026-01-07,2005,328,62,99,False,22.5,-37
401820561,2026-01-10,2005,167,49,91,False,16.5,-42
401820562,2026-01-14,23,2005,70,62,False,-5.5,8
401820563,2026-01-17,2005,2440,66,81,False,14.5,-15
401820564,2026-01-21,36,2005,81,52,False,-19.5,29
401820565,2026-01-24,68,2005,96,54,False,-23.5,42
401820566,2026-01-31,2005,278,62,79,False,9.5,-17
401820567,2026-02-04,2253,2005,81,57,False,-26.5,24
401820595,2025-11-04,2006,256,85,71,False,-8.5,14
401820596,2025-11-08,2006,163,104,69,False,-13.5,35
401820597,2025-11-13,2006,130195,109,51,False,,58
401820598,2025-11-17,2509,2006,97,79,False,-18.5,18
401820599,2025-11-21,2006,314,96,75,True,-11.5,21
401831205,2025-11-24,339,2006,59,97,True,11.5,-38
401831208,2025-11-25,2006,43,94,97,True,-2.5,-3
401820600,2025-11-30,2006,270,105,81,False,-12.5,24
401809080,2025-12-04,2006,2083,97,77,False,-23.5,20
401820601,2025-12-06,2655,2006,71,88,False,6.5,-17
401820602,2025-12-13,2006,93,100,115,True,-4.5,-15
401813767,2025-12-20,2006,2199,93,72,False,-15.5,21
401820603,2025-12-30,2006,2148,115,64,False,,51
401814498,2026-01-03,193,2006,76,73,False,4.5,3
401814505,2026-01-07,2006,2117,82,69,False,-23.5,13
401814510,2026-01-10,189,2006,67,77,False,4.5,-10
401814516,2026-01-14,2006,2050,87,77,False,-20.5,10
