team_id,date,team,games,record,adj_o,adj_d,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pt_pct,two_pt_pct_d,three_pt_pct,three_pt_pct_d,three_pt_rate,three_pt_rate_d,adj_tempo,wab,days_since_last_game,games_last_7_days
97,2025-11-04,Louisville,1,1–0,112.6,64.8,.9983,62.9,24.6,20.8,30.7,36.4,25.5,53.2,38.6,70.0,28.9,37.5,10.5,51.6,33.3,80.3,+0.01,1,1
228,2025-11-04,Clemson,1,1–0,117.1,68.7,.9979,56.9,28.3,8.6,18.7,24.1,17.4,80.4,15.0,62.5,33.3,31.6,14.8,37.3,45.0,70.1,+0.03,1,1
153,2025-11-04,North Carolina,1,1–0,122.9,75.7,.9962,58.5,37.5,15.9,22.6,37.5,23.3,33.8,14.1,63.9,34.3,34.5,27.6,44.6,45.3,75.3,+0.09,1,1
150,2025-11-04,Duke,1,1–0,112.2,81.4,.9758,51.0,36.4,15.0,24.0,32.4,40.9,57.7,39.0,44.8,33.3,39.1,29.4,44.2,28.8,66.9,+0.5,1,1
152,2025-11-04,N.C. State,1,1–0,137.0,106.8,.9459,72.7,49.0,12.4,24.7,45.2,21.2,46.9,58.3,75.0,53.3,47.5,27.8,62.5,37.5,73.9,+0.01,1,1
87,2025-11-04,Notre Dame,1,1–0,122.0,97.3,.9310,61.8,43.6,26.8,21.1,50.0,33.3,54.5,56.4,46.4,40.5,51.9,33.3,49.1,32.7,70.3,+0.06,1,1
183,2025-11-04,Syracuse,1,1–0,103.5,84.3,.9141,56.1,34.4,7.2,31.9,33.3,20.6,24.2,48.9,68.9,43.8,19.0,7.7,31.8,28.9,70.9,+0.01,1,1
259,2025-11-04,Virginia Tech,1,1–0,116.4,97.6,.8834,52.0,40.1,9.0,19.2,40.9,29.4,35.5,21.1,54.2,30.0,32.1,35.5,36.8,43.7,73.7,+0.05,1,1
25,2025-11-04,California,1,1–0,109.4,92.7,.8707,58.5,38.7,19.2,23.3,40.0,30.6,42.4,56.6,75.0,36.4,21.7,33.3,39.0,17.0,70.6,+0.03,1,1
258,2025-11-04,Virginia,1,1–0,119.3,103.4,.8384,53.1,35.7,9.4,21.9,53.7,32.5,53.1,59.2,64.7,35.1,26.7,25.0,46.9,24.5,66.3,+0.01,1,1
2567,2025-11-04,SMU,1,1–0,126.0,109.7,.8320,63.0,46.1,15.1,20.6,28.6,30.3,84.0,68.6,65.6,39.4,38.9,38.9,36.0,35.3,68.8,+0.09,1,1
